FOLIO_INT,h0302,h0303,h0402,entidad1,desc_ent1,municipio1,desc_mun1,ponde_f,estrato
2022_09007220_02,1,26, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3521,56764644597",3
2022_09007220_03,1,18, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3115,35340458809",3
2022_09007221_01,2,66,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2391,56779159158",3
2022_09007221_02,1,68,44,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2573,49976251563",3
2022_09007222_01,2,67,17,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2391,56779159158",3
2022_09007222_02,1,40, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3521,56764644597",3
2022_09007223_01,2,55,17,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2391,56779159158",3
2022_09007223_02,1,31,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3521,56764644597",3
2022_09007223_03,1,21, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3521,56764644597",3
2022_09007223_04,1,18, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3115,35340458809",3
2022_09007223_05,2,31, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3702,80751568616",3
2022_09007223_06,2,5, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3475,16954293545",3
2022_09007224_01,1,21, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4442,74166729007",3
2022_09007224_02,2,22, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4671,39038277343",3
2022_09007224_03,2,3, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4510,67216232814",3
2022_09007225_01,1,48,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3246,67755203513",3
2022_09007225_02,2,46,52,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3017,15569444645",3
2022_09007227_01,1,57, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3246,67755203513",3
2022_09007227_02,2,56,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3017,15569444645",3
2022_09007227_03,2,26, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4671,39038277343",3
2022_09007228_01,1,51,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3246,67755203513",3
2022_09007228_02,2,47,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3017,15569444645",3
2022_09007228_03,2,19, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4469,53198462889",3
2022_09007228_04,1,16,15,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3930,26963229452",3
2022_09007228_05,1,10,1,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3930,26963229452",3
2022_09007229_01,1,77,30,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3246,67755203513",3
2022_09007230_01,1,43, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4442,74166729007",3
2022_09007230_02,2,66,16,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3017,15569444645",3
2022_09007231_01,1,56, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3246,67755203513",3
2022_09007231_02,2,44, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4671,39038277343",3
2022_09007231_03,2,21, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4671,39038277343",3
2022_09007231_04,2,12, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4469,53198462889",3
2022_09007232_01,1,73,54,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"3075,12117614711",3
2022_09007232_02,2,63, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"2857,72739023907",3
2022_09007232_03,1,34, ,9,09 CIUDAD DE MÉXICO,7,007 IZTAPALAPA,"4207,9845510593",3
